drink_name,price,ingredients
Classic Brown Sugar Boba Milk Tea,6.25,"{Tapioca Pearls (Boba), Cups (Regular), Straws (Jumbo), Lids (Flat), Condiment Station Supplies, Napkins (Regular), To-Go Bags (Small), Brown Sugar, Fresh Milk}"
Taro Bubble Tea,6.75,"{Tapioca Pearls (Boba), Cups (Regular), Straws (Jumbo), Lids (Flat), Condiment Station Supplies, Napkins (Regular), To-Go Bags (Small), Taro}"
Matcha Black Sugar Boba Milk,6.75,"{Cups (Regular), Straws (Regular), Lids (Flat), Condiment Station Supplies, Napkins (Regular), To-Go Bags (Small), Matcha, Black Sugar, Fresh Milk}"
Black Sugar Coffee Jelly,6.5,"{Grass Jelly, Cups (Regular), Straws (Regular), Lids (Flat), Condiment Station Supplies, Napkins (Regular), To-Go Bags (Small), Black Sugar}"
Strawberry Milk,8,"{Cups (Regular), Straws (Regular), Lids (Dome), Condiment Station Supplies, Napkins (Regular), To-Go Bags (Small), Fresh Milk, Strawberry Milk Cream}"
Tiger Mango Sago,8,"{Cups (Regular), Straws (Regular), Lids (Flat), Napkins (Regular), To-Go Bags (Small), Sago, Crystal Jelly, Mango Milk Cream}"
Passion Fruit Tea,5.5,"{Cups (Regular), Straws (Regular), Lids (Flat), Napkins (Regular), To-Go Bags (Small), Lychee Jelly, Passion Fruit Tea Leaves}"
Golden Oolong Tea,5.5,"{Cups (Regular), Straws (Regular), Lids (Flat), Napkins (Regular), To-Go Bags (Small), Aloe Vera Bits, Oolong Tea Leaves}"
Red Bean Matcha Milk,6.75,"{Cups (Regular), Straws (Regular), Lids (Flat), Condiment Station Supplies, Napkins (Regular), To-Go Bags (Small), Fresh Milk, Red Beans, Matcha}"
Jasmine Green Tea,4.75,"{Cups (Regular), Straws (Regular), Lids (Flat), Napkins (Regular), To-Go Bags (Small), Jasmine Green Tea Leaves}"
